code,company_name,market,feature,business_composition,industries,themes,business1,business2,business3,business_sales1,business_sales2,business_sales3,business_profit1,business_profit2,business_profit3,overseas
6373,大同工業,東証スタンダード,2輪車用チェーンで国内シェアトップ。椿本チエインと経営統合、25年12月29日上場廃止予定,二輪自動車部品等・日本46(0)、同・アジア32(4)、同・北米5(3)、同・南米9(0)、同・欧州8(10) <25.3>,"自動車部品,中部",インド,二輪自動車部品等・日本,同・アジア,同・南米,46,32,9,0,4,0,
6376,日機装,東証プライム,産業用特殊ポンプに強み。透析装置が国内首位、海外もトップクラス。航空機部品を展開中,工業部門61(5)、医療部門39(5)【海外】67 <24.12>,"医療機器,航空機,関東",脱炭素,工業部門,医療部門,,61,39,,5,5,,67
6378,木村化工機,東証スタンダード,化学機械装置の保守・エンジ。蒸発装置強い。核燃料の輸送容器や濃縮関連機器など原発関連も,エンジニアリング28(6)、化工機46(12)、エネルギー・環境27(15)、他-(-) <25.3>,"プラント,近畿",原発再稼働,化工機,エンジニアリング,エネルギー・環境,46,28,27,12,6,15,
6379,レイズネクスト,東証プライム,製油所の日常保全、定期修繕工事が柱。ENEOS等が主要顧客。19年7月にJXエンジ合併,エンジニアリング100、他0 <25.3>,関東,プラント,,,,,,,,,,
6380,オリエンタルチエン工業,東証スタンダード,高耐久性等独自技術生かした小型チェーンに強み。医療機器向けなど金属射出精密部品も,チェーン94(9)、金属射出成形5(15)、不動産賃貸1(64)【海外】21 <25.3>,中部,精密部品,チェーン,金属射出成形,不動産賃貸,94,5,1,9,15,64,21
6381,アネスト岩田,東証プライム,塗装機器、圧縮機等の機器メーカー。塗装機国内シェア7割超。欧米、アジア等海外に積極展開,圧縮機57、真空機器5、塗装機器33、塗装設備5、他0【海外】66 <25.3>,"工作機械,関東",EV関連,,,,,,,,,,66
6382,トリニティ工業,東証スタンダード,トヨタグループ向けが主力。塗装設備の設計からプラントまで一貫化。高級車向け自動車部品も,設備部門74(13)、自動車部品部門26(13) <25.3>,"自動車部品,中部",脱炭素,設備部門,自動車部品部門,,74,26,,13,13,,
6383,ダイフク,東証プライム,保管・搬送システム世界首位級。立体自動倉庫首位。半導体製造ラインや空港等に幅広く納入,物流機器94、電子機器3、他3【海外】74 <24.12>,"産業機械,倉庫,近畿",空港事業,,,,,,,,,,74
6384,昭和真空,東証スタンダード,アルバック系列。水晶デバイス製造装置でシェア9割。光学製造装置、圧電部品関連にも展開,水晶デバイス装置17、光学装置31、電子部品装置19、他装置-、改造工事13、部品販売13、修理他6【海外】63 <25.3>,"電子部品,関東",水晶,,,,,,,,,,63
6387,サムコ,東証プライム,半導体など電子部品製造の装置開発に特化。化合物系薄膜形成、加工が軸。アジア新興顧客開拓,CVD装置20、エッチング装置57、洗浄装置7、他16【海外】46 <24.7>,"半導体装置,パワ半導体,近畿",半導体製造装置,,,,,,,,,,46
6390,加藤製作所,東証プライム,国内建設用クレーン最大手級。油圧ショベルは中堅。海外は東南アジアの代理店向け販売に軸足,荷役機械63、建設機械35、他2【海外】14 <25.3>,"建設機械,関東",油圧ショベル,,,,,,,,,,14
6391,加地テック,東証スタンダード,石化などプラント向け特殊ガス圧縮機製造。燃料電池車用水素設備も。三井E&S連結子会社,圧縮機100【海外】18 <25.3>,"プラント,近畿",脱炭素,,,,,,,,,,18
6392,ヤマダコーポレーション,東証スタンダード,独立系の産業用機器メーカー。自動車整備機器・工具と給油・塗装用など産業用ポンプが2本柱,オートモティブ機器24、インダストリアル機器64、他12【海外】61 <25.3>,,ポンプ,,,,,,,,,,61
6393,油研工業,東証スタンダード,油圧機器の専業総合メーカー。独自システム製品に強み。アジア中心に海外生産・販売に意欲的,油圧製品63、システム製品23、環境製品14【海外】62 <25.3>,"産業機械,関東",インド,,,,,,,,,,62
6395,タダノ,東証プライム,移動式の建設用クレーンで世界最大手級。インフラや資源関連に強み。19年買収の独事業再建中,建機・日本46(14)、同・欧州11(-15)、同・米州36(6)、同・大洋州5(9)、他2(8)【海外】62 <24.12>,"建設機械,中国四国",インド,建機・日本,同・米州,同・大洋州,46,36,5,14,6,9,62
6396,宇野澤組鐵工所,東証スタンダード,工業用ポンプ、送風機中堅。自社開発のドライ式真空ポンプは独占。不動産賃貸が利益支える,製造87(3)、不動産13(75) <25.3>,,半導体製造装置,製造,不動産,,87,13,,3,75,,
6400,不二精機,東証スタンダード,精密金型から出発、成形品受託が主体。2輪・4輪車部品中心に幅広く展開。中国、東南アに工場,射出成形用精密金型・成形システム31(3)、精密成形品他69(6)【海外】74 <24.12>,"自動車部品,近畿",EV関連,精密成形品他,射出成形用精密金型・成形システム,,69,31,,6,3,,74
6402,兼松エンジニアリング,東証スタンダード,環境整備用特装車メーカー。強力吸引作業車で国内シェア8割強、高圧洗浄車で5割の最大手,強力吸引作業車70、高圧洗浄車14、粉粒体吸引・圧送車1、部品売上9、他6 <25.3>,"トラック,中国四国",下水道,,,,,,,,,,
6403,水道機工,東証スタンダード,水処理業界の先駆で東レの傘下。上水道施設向け浄水処理設備が主。官需9割。サウジは撤退へ,プラント建設64(5)、O&M36(6) <25.3>,"水処理,プラント,関東",上下水道,プラント建設,O&M,,64,36,,5,6,,
6405,鈴茂器工,東証スタンダード,米飯加工機を製造販売。すしロボットが収益源。どんぶり飯盛り付け機や和食人気の海外展開,米飯加工機械関連100【海外】32 <25.3>,関東,米飯,,,,,,,,,,32
6406,フジテック,東証プライム,エレベーターはじめ昇降機専業で国内4位。アジア市場で稼ぐ。日、米、アジアの多拠点で生産,エレベータ・エスカレータ・動く歩道100【海外】62 <25.3>,"近畿,エレベータ",インド,,,,,,,,,,62
6407,CKD,東証プライム,半導体製造装置・FA向け制御機器大手。薬品包装機等自動機械も手がける。海外市場拡大中,自動機械16(22)、機器84(14)【海外】35 <25.3>,"産業機械,中部",インド,機器,自動機械,,84,16,,14,22,,35
6408,小倉クラッチ,東証スタンダード,産業用クラッチ大手。カーエアコン用で世界トップ。レース車変速用、機械用クラッチも展開,輸送機器用72(1)、一般産業用27(2)、他1(0)【海外】57 <25.3>,"自動車部品,関東",ロボット,輸送機器用,一般産業用,,72,27,,1,2,,57
6411,中野冷機,東証スタンダード,冷凍ショーケース、同工事大手。セブン&アイグループに強い。中国展開。配当性向50%に変更,ショーケース39、冷凍機9、工事他52 <24.12>,倉庫,ベトナム,,,,,,,,,,
6412,平和,東証プライム,パチンコ、パチスロ機大手。傘下に大手アコーディア、PGM擁し世界最多のゴルフ場保有,遊技機31(26)、ゴルフ69(18) <25.3>,"パチンコ,関東",IPビジネス,ゴルフ,遊技機,,69,31,,18,26,,
